,date,trainer,appear_cum,win_cum,top2_cum,top3_cum,win_rate,top2_rate,top3_rate
222,2015-07-05,C S Shum,39,2,6,11,0.05128205128205128,0.15384615384615385,0.28205128205128205
223,2015-07-05,C W Chang,42,0,2,5,0.0,0.047619047619047616,0.11904761904761904
224,2015-07-05,D Cruz,40,1,1,4,0.025,0.025,0.1
225,2015-07-05,D E Ferraris,43,2,5,7,0.046511627906976744,0.11627906976744186,0.16279069767441862
226,2015-07-05,D J Hall,31,5,7,8,0.16129032258064516,0.22580645161290322,0.25806451612903225
227,2015-07-05,J Moore,55,9,16,21,0.16363636363636364,0.2909090909090909,0.38181818181818183
228,2015-07-05,J Size,49,10,17,25,0.20408163265306123,0.3469387755102041,0.5102040816326531
229,2015-07-05,K L Man,47,2,8,10,0.0425531914893617,0.1702127659574468,0.2127659574468085
230,2015-07-05,K W Lui,39,6,9,12,0.15384615384615385,0.23076923076923078,0.3076923076923077
231,2015-07-05,L Ho,24,0,2,6,0.0,0.08333333333333333,0.25
232,2015-07-05,P F Yiu,47,3,8,12,0.06382978723404255,0.1702127659574468,0.2553191489361702
233,2015-07-05,P O'Sullivan,32,2,4,6,0.0625,0.125,0.1875
234,2015-07-05,R Gibson,38,1,6,9,0.02631578947368421,0.15789473684210525,0.23684210526315788
235,2015-07-05,S Woods,32,1,1,2,0.03125,0.03125,0.0625
236,2015-07-05,T K Ng,24,1,2,3,0.041666666666666664,0.08333333333333333,0.125
237,2015-07-05,T P Yung,42,4,6,8,0.09523809523809523,0.14285714285714285,0.19047619047619047
238,2015-07-05,W Y So,54,2,8,10,0.037037037037037035,0.14814814814814814,0.18518518518518517
239,2015-07-05,Y S Tsui,48,6,11,18,0.125,0.22916666666666666,0.375
240,2015-07-08,A Lee,42,4,4,7,0.09523809523809523,0.09523809523809523,0.16666666666666666
241,2015-07-08,A S Cruz,66,2,10,12,0.030303030303030304,0.15151515151515152,0.18181818181818182
242,2015-07-08,A Schutz,27,2,4,9,0.07407407407407407,0.14814814814814814,0.3333333333333333
243,2015-07-08,A T Millard,50,6,9,13,0.12,0.18,0.26
244,2015-07-08,C Fownes,82,8,11,19,0.0975609756097561,0.13414634146341464,0.23170731707317074
245,2015-07-08,C H Yip,68,4,9,13,0.058823529411764705,0.1323529411764706,0.19117647058823528
246,2015-07-08,C S Shum,40,2,6,11,0.05,0.15,0.275
247,2015-07-08,C W Chang,47,0,2,6,0.0,0.0425531914893617,0.1276595744680851
248,2015-07-08,D Cruz,46,1,1,5,0.021739130434782608,0.021739130434782608,0.10869565217391304
249,2015-07-08,D E Ferraris,48,3,7,9,0.0625,0.14583333333333334,0.1875
250,2015-07-08,D J Hall,33,5,8,9,0.15151515151515152,0.24242424242424243,0.2727272727272727
251,2015-07-08,J Moore,67,13,20,27,0.19402985074626866,0.29850746268656714,0.40298507462686567
252,2015-07-08,J Size,57,11,18,27,0.19298245614035087,0.3157894736842105,0.47368421052631576
253,2015-07-08,K L Man,55,3,10,13,0.05454545454545454,0.18181818181818182,0.23636363636363636
254,2015-07-08,K W Lui,45,6,9,13,0.13333333333333333,0.2,0.28888888888888886
255,2015-07-08,L Ho,25,0,2,6,0.0,0.08,0.24
256,2015-07-08,P F Yiu,55,3,9,13,0.05454545454545454,0.16363636363636364,0.23636363636363636
257,2015-07-08,P O'Sullivan,35,2,6,8,0.05714285714285714,0.17142857142857143,0.22857142857142856
258,2015-07-08,R Gibson,44,1,7,10,0.022727272727272728,0.1590909090909091,0.22727272727272727
259,2015-07-08,S Woods,37,2,2,4,0.05405405405405406,0.05405405405405406,0.10810810810810811
260,2015-07-08,T K Ng,25,1,2,3,0.04,0.08,0.12
261,2015-07-08,T P Yung,47,5,8,11,0.10638297872340426,0.1702127659574468,0.23404255319148937
262,2015-07-08,W Y So,62,3,10,12,0.04838709677419355,0.16129032258064516,0.1935483870967742
263,2015-07-08,Y S Tsui,57,6,12,19,0.10526315789473684,0.21052631578947367,0.3333333333333333
264,2015-07-12,A Lee,45,5,5,8,0.1111111111111111,0.1111111111111111,0.17777777777777778
265,2015-07-12,A S Cruz,71,2,11,13,0.028169014084507043,0.15492957746478872,0.18309859154929578
266,2015-07-12,A Schutz,31,3,5,11,0.0967741935483871,0.16129032258064516,0.3548387096774194
267,2015-07-12,A T Millard,54,7,11,16,0.12962962962962962,0.2037037037037037,0.2962962962962963
268,2015-07-12,C Fownes,90,8,11,20,0.08888888888888889,0.12222222222222222,0.2222222222222222
269,2015-07-12,C H Yip,72,4,10,14,0.05555555555555555,0.1388888888888889,0.19444444444444445
270,2015-07-12,C S Shum,45,2,7,12,0.044444444444444446,0.15555555555555556,0.26666666666666666
271,2015-07-12,C W Chang,52,0,2,6,0.0,0.038461538461538464,0.11538461538461539
272,2015-07-12,D Cruz,51,2,2,7,0.0392156862745098,0.0392156862745098,0.13725490196078433
273,2015-07-12,D E Ferraris,54,3,8,10,0.05555555555555555,0.14814814814814814,0.18518518518518517
274,2015-07-12,D J Hall,34,5,8,9,0.14705882352941177,0.23529411764705882,0.2647058823529412
275,2015-07-12,J Moore,71,14,21,28,0.19718309859154928,0.29577464788732394,0.39436619718309857
276,2015-07-12,J Size,63,11,18,30,0.1746031746031746,0.2857142857142857,0.47619047619047616
277,2015-07-12,K L Man,60,3,10,13,0.05,0.16666666666666666,0.21666666666666667
278,2015-07-12,K W Lui,51,8,11,16,0.1568627450980392,0.21568627450980393,0.3137254901960784
279,2015-07-12,L Ho,28,0,2,6,0.0,0.07142857142857142,0.21428571428571427
280,2015-07-12,P F Yiu,61,5,12,16,0.08196721311475409,0.19672131147540983,0.26229508196721313
281,2015-07-12,P O'Sullivan,38,2,6,8,0.05263157894736842,0.15789473684210525,0.21052631578947367
282,2015-07-12,R Gibson,48,1,8,11,0.020833333333333332,0.16666666666666666,0.22916666666666666
283,2015-07-12,S Woods,40,2,3,5,0.05,0.075,0.125
284,2015-07-12,T K Ng,29,1,3,4,0.034482758620689655,0.10344827586206896,0.13793103448275862
285,2015-07-12,T P Yung,50,5,8,11,0.1,0.16,0.22
286,2015-07-12,W Y So,64,3,10,12,0.046875,0.15625,0.1875
287,2015-07-12,Y S Tsui,65,6,12,20,0.09230769230769231,0.18461538461538463,0.3076923076923077
288,2015-09-06,A Lee,53,5,5,8,0.09433962264150944,0.09433962264150944,0.1509433962264151
289,2015-09-06,A S Cruz,78,2,12,16,0.02564102564102564,0.15384615384615385,0.20512820512820512
290,2015-09-06,A Schutz,35,3,6,12,0.08571428571428572,0.17142857142857143,0.34285714285714286
291,2015-09-06,A T Millard,60,7,12,17,0.11666666666666667,0.2,0.2833333333333333
292,2015-09-06,C Fownes,98,8,11,21,0.08163265306122448,0.11224489795918367,0.21428571428571427
293,2015-09-06,C H Yip,80,5,11,16,0.0625,0.1375,0.2
294,2015-09-06,C S Shum,49,2,7,13,0.04081632653061224,0.14285714285714285,0.2653061224489796
295,2015-09-06,C W Chang,59,0,2,6,0.0,0.03389830508474576,0.1016949152542373
296,2015-09-06,D Cruz,57,3,3,9,0.05263157894736842,0.05263157894736842,0.15789473684210525
297,2015-09-06,D E Ferraris,60,3,8,10,0.05,0.13333333333333333,0.16666666666666666
298,2015-09-06,D J Hall,39,7,11,12,0.1794871794871795,0.28205128205128205,0.3076923076923077
299,2015-09-06,J Moore,79,16,23,30,0.20253164556962025,0.2911392405063291,0.379746835443038
300,2015-09-06,J Size,73,13,22,34,0.1780821917808219,0.3013698630136986,0.4657534246575342
301,2015-09-06,K L Man,67,3,10,14,0.04477611940298507,0.14925373134328357,0.208955223880597
302,2015-09-06,K W Lui,56,8,11,18,0.14285714285714285,0.19642857142857142,0.32142857142857145
303,2015-09-06,L Ho,33,0,2,7,0.0,0.06060606060606061,0.21212121212121213
304,2015-09-06,P F Yiu,71,5,12,16,0.07042253521126761,0.16901408450704225,0.22535211267605634
305,2015-09-06,P O'Sullivan,41,2,7,9,0.04878048780487805,0.17073170731707318,0.21951219512195122
306,2015-09-06,R Gibson,51,1,8,12,0.0196078431372549,0.1568627450980392,0.23529411764705882
307,2015-09-06,S Woods,44,2,5,7,0.045454545454545456,0.11363636363636363,0.1590909090909091
